"ST04Q01";"ST15Q01";"ST19Q01";"misced";"fisced";"CLCUSE1";"ESCS";"FAMSTRUC";"BELONG";"STUDREL";"ATTLNACT";"ATSCHL";"ANXMAT";"FAILMAT";"INSTMOT";"INTMAT";"SMATBEH";"MATHEFF";"MATINTFC";"MATWKETH";"SCMAT";"SUBNORM"
2;1;2;6;4;3;0,38;1;-0,15;-0,79;-1,7015;-0,95;0,32;-0,076;-2,3;-1,78;0,2171;-0,33;-1,5329;-2,7818;-1,61;-1,3599
2;2;4;6;6;3;0,97;2;2,63;2,16;1,2115;2,35;-2,37;-0,767;1,59;1,51;0,6426;2,27;1,4565;1,0166;2,26;1,4014
1;4;3;1;0;3;-2,18;2;-0,56;0,81;1,2115;-0,24;-0,73;-1,6239;1,11;1,51;0,4486;-0,48;-0,2514;-0,0651;0,41;-0,0455
2;1;1;6;6;3;1,17;2;-0,15;-0,02;0,5206;0,77;0,06;1,2219;0,05;0,3;-0,4567;1,07;-0,2514;0,4684;0,65;1,7943
2;1;1;6;1;1;1,19;2;0,82;0,81;1,2115;2,35;-0,47;-2,5995;1,59;0,91;0,4486;2,27;0,6584;1,4298;1,38;-0,0455
2;2;1;4;4;3;0,42;2;1,84;2,16;1,2115;2,35;-1,3;-3,7666;1,59;1,51;1,3516;2,27;0,1775;2,7167;1,7;1,7943
2;1;4;6;4;2;0,77;2;-1,53;-1,47;0,5206;-0,64;0,56;-0,076;0,05;-0,34;-0,4567;-0,18;0,1775;-0,4017;-0,06;0,6602
2;1;1;6;6;3;1,24;2;-1,18;-0,79;1,2115;-0,64;0,32;0,64;1,11;0,91;0,9618;-0,48;0,1775;-0,0651;-0,06;-0,0455
1;2;1;4;6;3;0,65;2;-0,74;1,51;-0,9394;-0,64;0,56;0,9139;-0,39;-0,66;-0,0721;-0,48;-0,7332;-0,7235;-0,76;-0,3852
2;4;1;5;5;1;-0,27;1;-0,56;-0,79;1,2115;0,77;0,32;0,1524;1,11;-0,34;-0,4567;0,78;1,4565;0,8307;-0,52;0,3026
2;2;1;4;4;4;-0,01;2;-0,37;0,81;-0,3397;0,77;-0,2;-0,767;1,59;0,91;-2,1402;-0,18;1,4565;0,1099;0,41;0,3026
2;2;1;6;6;3;0,87;2;1,42;0,45;0,5206;-0,24;0,56;0,9139;-0,9;-0,95;0,811;0,78;-1,5329;0,2882;-0,52;-0,7176
1;4;1;2;4;2;0,39;2;0,82;-0,48;1,2115;0,24;-0,47;0,64;1,59;0;0,9618;2,27;0,1775;-0,2356;0,65;-0,0455
2;4;1;6;6;3;1,05;2;-0,37;1,13;0,5206;-0,24;-0,47;-1,0202;0,05;0,58;-0,0721;0,54;0,1775;0,4684;0,41;0,3026
1;1;1;2;4;3;0,48;2;-0,37;0,45;1,2115;-0,95;0,79;0,64;-0,39;0;-2,1402;-0,18;-1,5329;0,1099;0,41;0,6602
1;4;2;2;5;3;0,05;2;-0,37;-0,48;-0,9394;-0,64;0,06;-0,076;0,5;1,23;0,6426;-0,92;1,3469;-0,0651;0,18;0,6602
2;1;1;6;2;1;0,87;2;-1,42;-1,68;1,2115;-0,64;0,56;0,64;0,05;-0,66;-1,0226;-1,21;-1,5329;-1,1886;-0,29;-0,7176
2;4;1;4;4;2;0,37;2;0,82;0,81;0,5206;0,24;1,02;-0,3017;0,5;1,23;0,2171;-0,02;1,4565;-0,0651;1,38;-0,0455
2;1;1;5;6;1;0,68;2;-1,3;1,13;1,2115;2,35;0,32;0,1524;0,05;-1,78;-0,4567;0,78;-1,2506;0,2882;-1,28;-0,3852
2;4;1;4;2;2;-1,1;2;-0,37;-0,02;-0,3397;1,38;0,06;-0,3017;0,05;-0,34;-0,4567;-0,63;-0,7332;0,1099;-0,52;-0,0455
2;1;1;6;2;3;0,76;1;0,56;1,13;-0,9394;2,35;0,06;1,5828;-0,39;0,3;-2,1402;-0,33;1,4565;-1,3412;-0,78;-0,3852
1;4;1;2;4;2;-0,84;2;-0,37;-0,48;1,2115;-0,24;0,56;0,3889;1,11;1,23;0,2171;0,34;1,4565;0,2882;0,65;1,0265
1;1;4;6;6;2;0,57;2;-0,37;1,51;1,2115;-0,24;0,06;-0,3017;0,05;-0,66;0,2171;1,47;-1,5329;-0,2356;-0,06;0,6602
2;1;1;4;6;4;0,75;2;-0,37;-0,02;0,0873;-0,24;0,56;-1,0202;0,05;-0,34;0,6426;-1,06;0,6584;0,2882;-0,06;-0,0455
1;3;1;2;2;1;-0,8;2;-0,9;1,51;-0,3397;0,24;0,56;1,2219;-0,39;-0,34;-0,4567;-1,06;0,1775;-0,0651;-1,01;-0,3852
1;2;1;3;4;1;-0,04;2;-1,05;-0,48;-0,9394;-0,64;0,32;0,3889;-0,67;-0,34;-1,0226;-1,06;-0,3495;-0,5641;-0,76;-0,0455
1;2;1;2;4;1;-0,08;2;0,08;-0,48;0,0873;-0,64;1,26;-1,2999;-0,67;-1,78;-2,1402;-0,92;-1,4741;-0,5641;-1,28;0,3026
1;1;1;4;4;3;0,38;2;-1,3;-0,48;0,5206;-1,22;-0,2;-0,076;-0,39;-0,34;0,6426;0,15;-1,5329;-0,0651;0,18;-0,3852
1;2;1;2;2;3;-0,21;1;-0,56;-0,02;1,2115;-0,64;1,53;1,2219;-0,39;-1,78;0,6426;-1,21;-0,2514;0,4684;-1,61;-0,0455
1;4;1;6;4;3;1,03;2;-1,05;0,45;0,0873;-0,24;0,32;-0,076;-0,39;0,3;0,2171;-0,92;0,1775;1,0166;-0,76;-0,3852
2;1;1;6;6;2;-0,12;2;-0,56;-0,02;1,2115;-0,24;-0,2;-0,767;1,59;1,81;1,3516;0,54;-0,2514;0,4684;1,38;0,6602
2;4;1;3;5;5;1,07;2;-0,15;-0,02;0,0873;-0,64;-0,2;0,64;0,05;-1,27;-1,0226;1,07;-0,7332;-1,0353;1,12;-0,7176
2;2;4;2;4;2;-1,18;2;-0,56;-0,02;0,5206;-0,24;-0,47;-0,767;0,8;0,3;-2,1402;-0,02;1,4565;-0,7235;-0,06;0,3026
2;1;1;4;1;1;-1,11;2;-0,37;-1,91;-2,1084;-1,22;0,06;0,1524;-2,3;-1,78;-2,1402;-0,18;1,4565;-2,4418;0,65;-0,0455
2;4;1;4;4;2;-0,52;3;0,56;1,13;1,2115;-0,24;0,56;-0,076;1,59;-0,66;0,2171;-0,02;0,6584;0,2882;-0,06;0,3026
1;2;1;6;1;3;0,4;2;-0,37;-0,48;1,2115;-0,64;0,32;0,1524;1,59;0;1,0998;0,34;-0,7332;0,2882;1,12;1,4014
1;4;1;4;6;3;0,63;2;-3,69;-0,02;0,0873;-1,46;1,89;0,64;-1,12;-1,27;0,2171;-2,05;-1,5329;-0,8805;-1,61;1,4014
2;1;2;6;5;2;1,06;2;-1,18;2,16;-0,3397;-0,64;0,06;0,1524;-1,12;-1,27;-0,4567;0,54;-1,5329;-2,7818;0,18;-0,0455
1;2;1;4;5;2;0,56;2;-0,15;-0,02;0,5206;0,77;-0,47;-0,3017;0,05;0,91;-0,0721;0,78;0,6584;0,1099;0,88;0,6602
1;1;1;6;2;2;-0,05;2;-1,3;-0,02;1,2115;0,77;1,02;0,64;-0,9;-0,66;0,811;-0,48;-0,7332;-1,0353;-0,29;-0,0455
1;2;1;5;2;3;0,01;2;-1,53;-0,02;-0,3397;-1,22;0,56;0,1524;0,05;0,3;-2,1402;-0,92;0,1775;-0,8805;-0,52;1,0265
1;1;4;5;2;2;0,39;1;1,1;0,81;1,2115;1,38;0,79;0,3889;-1,83;-0,66;-0,0721;-1,51;-1,5329;0,8307;-1,28;-0,3852
1;1;1;6;4;3;0,72;2;-0,37;0,45;1,2115;-0,24;1,02;0,64;-0,9;-0,34;-2,1402;-0,33;-1,3074;-0,5641;-1,28;-0,7176
1;1;4;6;6;3;0,57;2;-0,15;-0,48;1,2115;1,38;0,06;0,9139;0,8;0,3;-2,1402;-0,02;-1,5329;0,4684;0,18;0,3026
2;1;1;2;1;2;-0,71;2;-1,18;-0,79;0,5206;-0,95;1,26;-0,076;0,05;-0,66;-0,0721;-3,75;0,1775;-0,5641;-0,52;-1,0426
2;1;1;6;2;2;0,83;2;1,42;-0,02;-1,4236;-0,64;-1,68;-0,076;-0,39;-1,78;1,3516;0,54;-0,7332;0,8307;1,12;1,0265
2;3;1;6;6;5;1,24;2;0,08;-0,02;-0,3397;-0,24;0,56;0,1524;-0,9;-0,34;0,4486;0,78;-0,2514;-0,0651;0,18;0,3026
2;1;1;6;6;5;0,75;2;0,56;1,51;1,2115;1,38;-0,73;-0,53;1,11;1,51;1,0998;2,27;-0,7332;1,6881;2,26;0,3026
1;1;1;2;2;2;-0,33;2;-0,56;0,45;-0,3397;-0,24;-0,47;-1,0202;0,05;0,3;-1,0226;-0,35;0,1775;0,2882;0,65;0,3026
1;4;3;0;0;2;-2,01;2;-0,56;1,13;1,2115;-0,24;0,06;-1,0202;-0,39;0;-1,0226;-1,06;-1,5329;-0,8805;-1,61;1,4014
1;2;1;6;6;2;0,88;2;-0,15;-0,79;1,2115;-1,22;0,06;0,1524;0,5;0;-0,4567;-0,02;-0,7332;-0,2356;-0,06;-0,0455
1;1;1;4;6;3;0,87;2;-0,56;-0,02;-0,9394;-0,64;0,32;0,1524;-0,39;-1,78;-2,1402;-0,92;0,1775;-1,0353;-1,61;-0,7176
2;1;1;4;2;3;0,28;2;2,63;2,16;0,5206;1,38;0,06;-2,0269;1,59;0,91;0,6426;2,27;0,1775;0,8307;0,65;-0,0455
2;2;1;6;6;3;0,74;2;-0,61;0,81;1,2115;-0,24;-1;-1,2999;1,59;0,91;0,6426;-0,18;-0,1091;1,9947;0,95;0,0577
1;2;4;4;4;5;0,76;2;-1,87;-0,02;0,0873;-0,24;0,56;-0,076;-0,67;-0,95;-1,0226;-0,92;0,1775;-0,5641;-0,76;-0,7176
1;1;1;2;4;3;-0,59;2;-0,37;-0,02;-0,9394;-0,24;-0,47;-0,3017;0,05;-0,34;-0,4567;-0,77;1,4565;0,2882;0,18;0,3026
2;2;1;6;6;5;1,39;2;0,56;2,16;1,2115;1,38;-1,3;-0,53;1,59;2,29;1,9398;2,27;1,4565;1,6881;2,26;1,4014
1;2;1;4;4;5;-0,4;2;-1,75;-1,26;-0,9394;-1,46;2,55;1,2219;-1,83;-1,27;-0,4567;-2,05;-1,3074;-1,3412;-1,61;1,4014
1;2;1;2;3;5;0,19;2;1,1;1,51;1,2115;1,38;-1,3;-0,53;1,59;0,91;0,4486;0,54;-0,7332;1,4298;0,41;1,4014
2;4;1;1;1;2;-0,65;2;-0,9;-0,02;-0,9394;-0,64;0,32;0,1524;-0,39;-0,34;-0,0721;-0,77;0,6584;-0,8805;-0,52;-0,3852
2;2;1;4;6;3;0,43;2;-1,18;-1,47;1,2115;0,77;2,55;0,9139;1,59;-1,27;1,2288;-0,92;1,4565;2,0389;-1,61;1,4014
1;4;2;5;1;3;-0,57;1;-1,42;-0,79;-0,9394;-1,22;1,02;-0,767;0,05;-0,66;-0,4567;-1,36;0,1775;-0,7235;-1,28;-0,7176
2;1;1;2;4;4;-0,69;2;-0,15;0,45;-0,9394;-0,24;0,06;0,3889;-0,67;-0,34;0,2171;-0,63;-1,5329;-0,2356;-1,01;-0,3852
1;1;1;4;4;3;0,02;1;-0,37;0,81;0,5206;-0,24;0,06;-1,6239;1,11;0,91;-0,0721;0,34;-0,2514;-0,0651;0,65;0,6602
1;1;1;6;6;3;1,21;2;1,1;0,45;1,2115;0,24;0,06;-0,076;1,59;-0,34;-0,4567;-0,77;-0,7332;1,4298;-0,76;1,0265
2;1;1;6;1;2;0,72;2;0,82;-1,04;-0,3397;-0,24;0,56;-0,076;-0,9;-0,66;-0,0721;-0,63;-1,5329;-0,8805;-0,52;-0,0455
2;2;1;6;6;5;0,65;2;-0,56;-0,02;1,2115;-0,24;0,32;-0,076;-0,67;-0,66;-0,4567;-0,18;-0,7332;-0,5641;-0,06;-0,3852
2;1;1;6;6;5;1,1;2;0,08;0,45;1,2115;0,77;-0,73;-0,076;1,59;0,91;0,2171;1,47;1,4565;1,4298;1,7;1,4014
2;2;4;5;4;3;-1,06;1;-0,37;0,45;1,2115;-0,64;-0,47;-0,076;0,05;1,51;-0,0721;0,15;-0,2514;0,8307;1,12;-1,0426
2;2;1;4;6;3;-0,33;1;-0,15;-0,02;-0,9394;0,77;0,06;-1,0202;-0,39;-0,34;-1,0226;-0,18;-0,7332;-0,8805;-0,29;-0,3852
1;1;1;6;6;2;1,39;2;2,63;1,51;0,5206;1,38;-0,47;0,9139;-0,39;0,91;0,4486;0,54;-0,7332;0,649;0,65;0,6602
